Cycle,50 ng,10 ng,5 ng,1 ng,0.5 ng,0.1 ng,,G1-M,G2-M
1,21.32183305,35.87415187,-2.253035929,2.058639611,-1.78168036,-2.321599471,,22.09687521,-0.184347062
2,-3.989929291,1.387492883,2.609427405,8.662484651,5.957351449,2.175292847,,92.01016441,8.291397234
3,34.47078466,-0.660206009,11.36424391,12.2293476,5.940106646,2.335772419,,132.4553588,3.729367839
4,56.61368102,0.99960621,1.867483122,6.486747806,5.200451575,1.049724206,,163.9739148,3.201080312
5,65.17373541,-0.483538086,-1.184553713,1.770466574,-5.226014559,0.605955589,,184.3631872,0.557399914
6,72.32703857,1.44016364,-0.477202812,2.352313975,-0.957696707,4.81420481,,213.74207,0.029955286
7,89.06557279,-5.104454989,-3.872266395,-4.928372766,-3.603252915,-4.870171711,,249.213422,-7.372072767
8,101.096043,-1.670158977,-3.51973346,-3.308252386,-2.344815397,0.402913305,,277.2822485,-6.980285209
9,113.8645037,2.659943084,5.353003192,-2.107609919,-1.402098414,-0.659241381,,302.234476,-3.629214966
10,123.1561533,13.61529999,10.36038712,-5.983646399,2.274899971,1.13044163,,331.5477672,-1.160548621
11,135.6123381,26.79423141,19.99546048,-6.755607977,-0.89612173,-1.206540358,,376.6615975,1.467135784
12,151.2725543,51.76693322,43.41121586,7.671814942,-2.832558429,-0.704367071,,436.8616135,7.208598679
13,169.1243396,80.17231165,72.00725567,19.16717021,1.672699668,4.253238615,,507.5148766,28.18555266
14,188.9836654,104.8293128,103.6144228,36.38272304,5.586517893,1.745287823,,585.32116,57.62802331
15,210.5302219,132.4063407,148.8971968,71.06035569,4.623213189,-0.736566447,,673.7429721,97.0603402
16,233.1243643,166.2237228,214.7657234,112.0356764,23.60057812,7.375791708,,769.7385764,155.5735236
17,253.7415893,195.2114054,283.3215367,158.1383443,40.77679524,9.850081613,,861.3468053,219.5897399
18,270.659688,218.7861292,351.9386687,205.5133341,75.8169354,28.12301092,,938.7411377,287.0544368
19,285.4699369,238.1357198,417.8693271,257.7093216,123.7733094,41.45418572,,1006.006747,353.8135521
20,299.6578527,257.5509065,477.9788255,316.3260915,177.9603296,64.34156548,,1062.011957,415.7665985
21,310.3482024,272.4561944,529.1738095,376.2530301,235.4160003,90.58913669,,1108.778263,469.9948305
22,319.2760875,286.1257566,569.5425506,435.7988821,294.6375356,116.398514,,1142.938782,517.5411333
23,325.3376474,295.6927745,600.1550687,492.1673356,348.4086849,141.2135834,,1170.130977,555.7942834
24,331.0267459,305.6761077,626.0514291,541.3652618,395.638096,168.061212,,1188.004754,587.326183
25,334.5376873,315.7381149,648.6693086,586.474063,433.4251187,193.340773,,1199.847716,610.6691404
26,336.2601402,324.0513201,666.27768,626.4586886,462.1509098,217.4195259,,1208.749658,627.4266957
27,337.0312975,332.0314534,682.4350135,664.2431948,486.5348888,240.8280231,,1215.648626,639.0492253
28,336.6498856,338.0085309,695.0072026,695.8475745,506.0118273,265.4762271,,1221.477966,650.25982
29,335.1332266,344.5468765,706.5053029,722.8634276,520.2178375,286.0719908,,1221.517117,656.0195749
30,333.6782116,348.9200386,712.2574205,744.4663216,529.0825156,306.0060735,,1220.60103,659.7680277
31,330.9213923,352.719002,717.0719027,764.1801646,533.4207884,323.3374142,,1219.246652,659.8142701
32,329.2342726,356.0973074,722.0003566,780.6635901,535.699875,340.007074,,1218.190457,659.2998032
33,327.7132987,361.9869134,726.4071138,793.6886914,538.1721246,356.5015375,,1217.550156,660.437303
34,328.5064566,368.5383046,732.6632355,807.445596,540.8764788,371.6731269,,1217.808605,661.6360199
35,327.3229029,373.16097,736.6402013,819.21717,543.9357781,387.5542815,,1215.481213,663.0715567
36,325.7626541,376.9818572,737.5013815,830.6249794,543.3274187,399.8294821,,1215.485556,661.8954087
37,323.1590502,379.128632,738.7828834,838.6141877,543.4553713,412.5119022,,1212.316666,662.0253064
38,321.7826712,383.9005956,738.5965147,848.1899926,542.5010094,421.7897424,,1211.256079,661.076873
39,319.779687,383.9957498,738.3704596,855.1492631,542.7954595,431.900395,,1209.073703,660.5493984
40,318.0442221,386.3786096,736.715659,861.0742116,543.2916902,441.3274163,,1206.671702,659.2330122
41,316.7118015,387.2365538,735.2753925,864.4615916,545.4832192,453.7647242,,1205.794861,661.4527454
42,314.8444283,391.9644869,733.6642632,866.253385,543.723117,462.5301458,,1203.046744,660.7587734
43,313.3278076,392.5509699,729.4849061,865.8230676,540.5340974,470.5902785,,1200.16314,660.3319195
44,313.9326993,395.8326281,725.9890001,866.0412318,537.4506331,479.2154617,,1194.338191,659.7561541
45,313.9374161,398.6236557,722.8305909,870.9272598,537.2848577,489.2385568,,1191.462719,658.8560928
46,312.0397088,401.8789648,720.4436258,873.4814704,537.8380278,498.7970687,,1188.806498,658.6615576
47,307.9415232,403.5826837,713.9631919,874.7775909,537.4531554,505.2228274,,1186.531689,657.3059859
48,305.6227177,405.0016043,708.0872431,870.5734913,537.5724092,513.8173614,,1180.259619,658.7018495
49,304.7153422,408.3358454,703.1843049,868.6967797,536.7143035,518.7576507,,1179.080691,657.1534399
50,303.8696488,410.1317863,700.7447229,868.7354607,535.1599655,524.3685638,,1180.939119,656.0781823
51,304.2731376,412.1072445,698.6386897,874.8573339,533.1454831,528.288162,,1187.49571,654.8368337